query,role,expected_title,top_result_title,top_result_score,retrieved_top_titles,expected_document_rank_within_top_k,expected_document_score,retrieved_at_k,top_one_correct,reciprocal_rank,elapsed_seconds
How quickly must I report a privacy data breach?,Student,Privacy Policy,Privacy Policy,0.6109,Privacy Policy | Information Security Policy | Research Governance Policy,1,0.6109,True,True,1.0,89.33
Do students own the intellectual property they create?,Student,Intellectual Property Policy,"Work Experience Placement, Cadetship or Internship Procedure",0.3747,"Work Experience Placement, Cadetship or Internship Procedure | Naming Rights Policy | Intellectual Property Policy | Student Charter | Research Clinical Trials Policy",3,0.1289,True,False,0.3333,30.55
What is the maximum number of days for paid personal work?,Staff,Outside Work Policy (Academic),Overtime Policy,0.0472,Overtime Policy | Outside Work Policy (Academic) | Transgender and Gender Diverse Staff Support Policy | Family and Domestic Violence Support Policy | Leave Entitlements Policy,2,0.0397,True,False,0.5,32.93
What does the Records Management Policy require for university records?,Staff,Records Management Policy,Records Management Policy,0.9989,Records Management Policy,1,0.9989,True,True,1.0,40.53
I was terminated from my employment. What process applies?,Staff,Termination of Employment Procedure,Termination of Employment Procedure,0.9812,Termination of Employment Procedure,1,0.9812,True,True,1.0,54.12
Can a research contract delay the publication of research findings?,Staff,Research Contracts and Grants Policy,Research Contracts and Grants Policy,0.9712,Research Contracts and Grants Policy | Intellectual Property Policy | Research Authorship and Outputs Policy,1,0.9712,True,True,1.0,56.38
"As a PhD student, who qualifies for authorship on a research output?",Student,Research Authorship and Outputs Policy,Research Authorship and Outputs Policy,0.7573,Research Authorship and Outputs Policy,1,0.7573,True,True,1.0,50.72
What are researchers required to do with research data?,Staff,Research Data Management Policy,Research Data Management Policy,0.946,Research Data Management Policy | Research Clinical Trials Policy | Research Governance Policy,1,0.946,True,True,1.0,52.77
What happens if an academic falsifies research or grant data?,Staff,Research Integrity Policy,Research Misconduct Procedure,0.7754,Research Misconduct Procedure | Research Authorship and Outputs Policy | Workplace Issue Resolution (Staff) Procedure | Research Contracts and Grants Policy | Research - Higher Degree Student Misconduct Procedure,0,,False,False,0.0,49.23
What approvals are required before conducting research involving biological hazards?,Staff,Research Biosafety and Biosecurity Procedure,Research Biosafety and Biosecurity Procedure,0.9134,Research Biosafety and Biosecurity Procedure | Research Human Ethics Procedure,1,0.9134,True,True,1.0,51.04
Do I need ethics approval before using animals in research?,Staff,Research Animal Ethics Procedure,Research Animal Ethics Procedure,0.9797,Research Animal Ethics Procedure | Research Governance Policy,1,0.9797,True,True,1.0,51.61
How is an allegation of research misconduct handled?,Staff,Research Misconduct Procedure,Research Misconduct Procedure,0.9567,Research Misconduct Procedure | Research - Higher Degree Student Misconduct Procedure | Research Authorship and Outputs Policy,1,0.9567,True,True,1.0,42.29
What procedure applies if a graduate research student is accused of research misconduct?,Student,Research - Higher Degree Student Misconduct Procedure,Research - Higher Degree Student Misconduct Procedure,0.9987,Research - Higher Degree Student Misconduct Procedure | Research Misconduct Procedure | Research Authorship and Outputs Policy,1,0.9987,True,True,1.0,50.59
Do I need human ethics approval before conducting research with human participants?,Staff,Research Human Ethics Procedure,Research Human Ethics Procedure,0.9869,Research Human Ethics Procedure,1,0.9869,True,True,1.0,60.35
What are the requirements for submitting a graduate research thesis for examination?,Student,"Graduate Research Examinations Procedure - Thesis Requirements, Submission and Retention","Graduate Research Examinations Procedure - Thesis Requirements, Submission and Retention",0.999,"Graduate Research Examinations Procedure - Thesis Requirements, Submission and Retention | Graduate Research Examinations Policy",1,0.999,True,True,1.0,54.54
